,     Jacobi  Method,,,,     Gauss-Seidel   ,,,,     SOR Method,,,
,,,,,         Method,,,,,,,
Iterations,x1,x2,x3,x4,x1,x2,x3,x4,x1,x2,x3   ,x4
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.4,0.6,0.8,1,0.4,0.7,1.03,1.64,0.6,1.26,1.75,3.11
2,1,1.12,1.4,1.52,1.24,1.63,2.03,2.38,2.51,3.24,3.91,4.01
3,1.43,1.58,1.83,1.98,2.93,2.25,2.59,2.87,3.66,3.86,3.91,4.09
4,1.79,1.94,2.19,2.34,2.39,2.65,2.96,3.19,3.48,3.46,3.78,3.8
5,2.08,2.23,2.48,2.63,2.69,2.9,3.19,3.39,3.21,3.37,3.56,3.71
6,2.31,2.45,2.71,2.85,3,3.07,3.35,3.53,3.19,3.31,3.6,3.75
7,2.49,2.64,2.89,3.04,3.08,3.17,3.44,3.61,3.23,3.36,3.62,3.76
8,2.64,2.78,3.04,3.18,3.13,3.24,3.51,3.67,3.23,3.37,3.63,3.78
9,2.76,1.9,3.15,3.3,3.16,3.29,3.55,3.7,3.23,3.37,3.62,3.771
10,2.85,2.99,3.25,3.39,3.18,3.31,3.58,3.72,3.228,3.37,3.63,3.771
11,2.92,3.07,3.33,3.47,3.2,3.33,3.59,3.74,3.227,3.37,3.63,3.771
12,2.98,3.13,3.39,3.53,3.21,3.34,3.6,3.75,3.228,3.36,3.63,3.771
13,3.03,3.17,3.43,3.57,3.215,3.35,3.61,3.761,3.23,3.37,3.63,3.771
14,3.07,3.21,3.47,3.61,3.22,3.36,3.62,3.764,3.23,3.37,3.63,3.771
15,3.1,3.24,3.5,3.65,3.222,3.36,3.62,3.766,3.23,3.37,3.63,3.771
16,3.13,3.27,3.53,3.67,3.224,3.37,3.62,3.768,,,,
17,3.14,3.29,3.54,3.69,3.225,3.37,3.63,3.77,,,,
18,3.16,3.3,3.56,3.7,3.226,3.37,3.63,3.7701,,,,
19,3.17,3.32,3.58,3.72,3.227,3.37,3.63,3.7706,,,,
20,3.18,3.33,3.59,3.73,3.228,3.37,3.63,3.771,,,,
21,3.19,3.34,3.602,3.74,,,,,,,,
22,3.2,3.35,3.609,3.745,,,,,,,,
23,3.207,3.354,3.612,3.75,,,,,,,,
24,3.21,3.358,3.615,3.755,,,,,,,,
25,3.215,3.36,3.62,3.76,,,,,,,,
,,,,,,,,,,,,
